date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:22:40	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22a8a23ecc4772d51:0%22	http://www.elathemes.com/themes/divano/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Users/AzCompService/Desktop/New%20folder%20(2)/divano/www.elathemes.com/themes/divano/fonts/fontawesome-webfont3e6e.eot	(from http://www.elathemes.com/themes/divano/css/font-awesome.css)
15:22:45	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22a8a23ecc4772d51:0%22	http://www.elathemes.com/themes/divano/fonts/fontawesome-webfont.eot?	C:/Users/AzCompService/Desktop/New%20folder%20(2)/divano/www.elathemes.com/themes/divano/fonts/fontawesome-webfontd41d.eot	(from http://www.elathemes.com/themes/divano/css/font-awesome.css)
15:22:49	55820/55820	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%229d3b5ece4772d51:0%22	http://www.elathemes.com/themes/divano/fonts/linearIcons.eot?w118d	C:/Users/AzCompService/Desktop/New%20folder%20(2)/divano/www.elathemes.com/themes/divano/fonts/linearIcons54e9.eot	(from http://www.elathemes.com/themes/divano/css/linear-icons.css)
15:22:53	21780/21780	---M--	200	added ('OK')	woff2	etag:%228a66cdcf4772d51:0%22	http://www.elathemes.com/themes/divano/fonts/linearIcons.woff2?w118d	C:/Users/AzCompService/Desktop/New%20folder%20(2)/divano/www.elathemes.com/themes/divano/fonts/linearIcons54e9.woff2	(from http://www.elathemes.com/themes/divano/css/linear-icons.css)
15:22:54	55820/55820	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%229d3b5ece4772d51:0%22	http://www.elathemes.com/themes/divano/fonts/linearIcons.eot?	C:/Users/AzCompService/Desktop/New%20folder%20(2)/divano/www.elathemes.com/themes/divano/fonts/linearIconsd41d.eot	(from http://www.elathemes.com/themes/divano/css/linear-icons.css)
15:22:58	165548/165548	---M--	200	added ('OK')	application/octet-stream	etag:%226ae86cd4772d51:0%22	http://www.elathemes.com/themes/divano/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/AzCompService/Desktop/New%20folder%20(2)/divano/www.elathemes.com/themes/divano/fonts/fontawesome-webfont3e6e.ttf	(from http://www.elathemes.com/themes/divano/css/font-awesome.css)
15:23:01	205847/205847	---M--	200	added ('OK')	image/svg+xml	etag:%225a84e8ce4772d51:0%22	http://www.elathemes.com/themes/divano/fonts/linearIcons.svg?w118d	C:/Users/AzCompService/Desktop/New%20folder%20(2)/divano/www.elathemes.com/themes/divano/fonts/linearIcons54e9.svg	(from http://www.elathemes.com/themes/divano/css/linear-icons.css)
15:23:03	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Jan%202020%2011:23:06%20GMT	http://www.elathemes.com/themes/divano/css/owl.video.play.png	C:/Users/AzCompService/Desktop/New%20folder%20(2)/divano/www.elathemes.com/themes/divano/css/owl.video.play.3a.delayed	(from http://www.elathemes.com/themes/divano/css/owl.carousel.css)
15:23:05	55696/55696	---M--	200	added ('OK')	font/x-woff	etag:%221168aecf4772d51:0%22	http://www.elathemes.com/themes/divano/fonts/linearIcons.woff?w118d	C:/Users/AzCompService/Desktop/New%20folder%20(2)/divano/www.elathemes.com/themes/divano/fonts/linearIcons54e9.woff	(from http://www.elathemes.com/themes/divano/css/linear-icons.css)
15:23:05	7495/7495	---M--	200	added ('OK')	image/png	etag:%2212ea2c44672d51:0%22	http://www.elathemes.com/themes/divano/assets/images/x.png	C:/Users/AzCompService/Desktop/New%20folder%20(2)/divano/www.elathemes.com/themes/divano/assets/images/x.png	(from http://www.elathemes.com/themes/divano/css/theme.css)
